timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,1w_close_time,1w_open_time,1w_open,1w_high,1w_low,1w_close,1w_quote_asset_volume,1w_number_of_trades,1w_taker_buy_base_asset_volume,1w_taker_buy_quote_asset_volume,1w_volume,1w_open_time_day,1w_open_time_month,1w_open_time_year,1w_open_time_hour,1w_open_time_minute,1w_close_time_day,1w_close_time_month,1w_close_time_year,1w_close_time_hour,1w_close_time_minute
2018-01-29,11879.95,11975.02,7930.0,8184.81,202016.407759,1517788799999,1896352538.670673,2082917,92718.819101,870670207.3273915,0,2018-02-04 23:59:59,2018-01-29,11879.95,11975.02,7930.0,8184.81,1896352538.670673,2082917,92718.819101,870670207.3273915,202016.407759,29,1,2018,0,0,4,2,2018,23,59
2018-02-05,8179.99,9065.78,6000.01,8063.88,340794.292131,1518393599999,2608962030.9285064,3182111,168442.580269,1292031857.368014,0,2018-02-11 23:59:59,2018-02-05,8179.99,9065.78,6000.01,8063.88,2608962030.9285064,3182111,168442.580269,1292031857.368014,340794.292131,5,2,2018,0,0,11,2,2018,23,59
2018-02-12,8063.82,11274.0,8053.0,10383.43,311863.068137,1518998399999,3026660454.8544908,3359228,152843.460787,1483899407.007015,0,2018-02-18 23:59:59,2018-02-12,8063.82,11274.0,8053.0,10383.43,3026660454.8544908,3359228,152843.460787,1483899407.007015,311863.068137,12,2,2018,0,0,18,2,2018,23,59
2018-02-19,10375.01,11786.01,9274.8,9590.0,350623.132911,1519603199999,3657589238.5328994,2886657,170833.284427,1784040709.7246325,0,2018-02-25 23:59:59,2018-02-19,10375.01,11786.01,9274.8,9590.0,3657589238.5328994,2886657,170833.284427,1784040709.7246325,350623.132911,19,2,2018,0,0,25,2,2018,23,59
2018-02-26,9590.0,11565.0,9350.0,11515.0,183970.997614,1520207999999,1967477246.427072,1604626,90364.521285,967157347.6870904,0,2018-03-04 23:59:59,2018-02-26,9590.0,11565.0,9350.0,11515.0,1967477246.427072,1604626,90364.521285,967157347.6870904,183970.997614,26,2,2018,0,0,4,3,2018,23,59
2018-03-05,11515.0,11710.0,8329.0,9533.57,282035.225382,1520812799999,2719942892.647309,2232004,135387.477047,1305861453.0105894,0,2018-03-11 23:59:59,2018-03-05,11515.0,11710.0,8329.0,9533.57,2719942892.647309,2232004,135387.477047,1305861453.0105894,282035.225382,5,3,2018,0,0,11,3,2018,23,59
2018-03-12,9533.57,9888.88,7322.0,8189.99,315835.151606,1521417599999,2657745291.1090126,2450216,152466.846927,1282773546.0090988,0,2018-03-18 23:59:59,2018-03-12,9533.57,9888.88,7322.0,8189.99,2657745291.1090126,2450216,152466.846927,1282773546.0090988,315835.151606,12,3,2018,0,0,18,3,2018,23,59
2018-03-19,8189.0,9177.01,8088.4,8470.15,285211.539511,1522022399999,2464528929.9149055,1993351,140515.572258,1214424116.234222,0,2018-03-25 23:59:59,2018-03-19,8189.0,9177.01,8088.4,8470.15,2464528929.9149055,1993351,140515.572258,1214424116.234222,285211.539511,19,3,2018,0,0,25,3,2018,23,59
2018-03-26,8470.14,8514.89,6430.0,6813.01,308729.492031,1522627199999,2276980709.5920525,2021451,150619.592562,1110640017.957367,0,2018-04-01 23:59:59,2018-03-26,8470.14,8514.89,6430.0,6813.01,2276980709.5920525,2021451,150619.592562,1110640017.957367,308729.492031,26,3,2018,0,0,1,4,2018,23,59
2018-04-02,6813.01,7520.0,6500.0,7018.0,232320.070499,1523231999999,1616723766.0660725,1464142,116325.454625,809573460.5723698,0,2018-04-08 23:59:59,2018-04-02,6813.01,7520.0,6500.0,7018.0,1616723766.0660725,1464142,116325.454625,809573460.5723698,232320.070499,2,4,2018,0,0,8,4,2018,23,59
2018-04-09,7011.04,8429.54,6611.0,8355.0,259877.022414,1523836799999,1959208437.53564,1648802,132620.416417,999880218.1401192,0,2018-04-15 23:59:59,2018-04-09,7011.04,8429.54,6611.0,8355.0,1959208437.53564,1648802,132620.416417,999880218.1401192,259877.022414,9,4,2018,0,0,15,4,2018,23,59
2018-04-16,8355.07,9035.0,7825.4,8787.02,233025.38619,1524441599999,1952372499.3863933,1643201,119054.126872,998226476.1990867,0,2018-04-22 23:59:59,2018-04-16,8355.07,9035.0,7825.4,8787.02,1952372499.3863933,1643201,119054.126872,998226476.1990867,233025.38619,16,4,2018,0,0,22,4,2018,23,59
2018-04-23,8785.7,9759.82,8651.62,9419.0,306668.07214,1525046399999,2812613536.4815598,2118018,155630.17935,1428135299.5043876,0,2018-04-29 23:59:59,2018-04-23,8785.7,9759.82,8651.62,9419.0,2812613536.4815598,2118018,155630.17935,1428135299.5043876,306668.07214,23,4,2018,0,0,29,4,2018,23,59
2018-04-30,9417.04,10020.0,8800.49,9659.01,222274.38854,1525651199999,2089890919.3001027,1677081,113653.80355,1069078899.1806284,0,2018-05-06 23:59:59,2018-04-30,9417.04,10020.0,8800.49,9659.01,2089890919.3001027,1677081,113653.80355,1069078899.1806284,222274.38854,30,4,2018,0,0,6,5,2018,23,59
2018-05-07,9661.02,9689.67,8153.0,8679.71,224151.298751,1526255999999,1995981257.4347427,1724758,110160.48336,981712737.9152083,0,2018-05-13 23:59:59,2018-05-07,9661.02,9689.67,8153.0,8679.71,1995981257.4347427,1724758,110160.48336,981712737.9152083,224151.298751,7,5,2018,0,0,13,5,2018,23,59
2018-05-14,8679.71,8879.99,7911.9,8526.98,182713.826012,1526860799999,1528659945.0791533,1744095,92219.281361,771701096.8068593,0,2018-05-20 23:59:59,2018-05-14,8679.71,8879.99,7911.9,8526.98,1528659945.0791533,1744095,92219.281361,771701096.8068593,182713.826012,14,5,2018,0,0,20,5,2018,23,59
2018-05-21,8526.97,8595.31,7231.11,7338.99,190894.600939,1527465599999,1473706966.3342865,1586528,96911.186832,747911310.861222,0,2018-05-27 23:59:59,2018-05-21,8526.97,8595.31,7231.11,7338.99,1473706966.3342865,1586528,96911.186832,747911310.861222,190894.600939,21,5,2018,0,0,27,5,2018,23,59
2018-05-28,7338.99,7786.69,7032.95,7714.26,211929.270766,1528070399999,1580400448.729519,1930065,117482.54749,876505422.238246,0,2018-06-03 23:59:59,2018-05-28,7338.99,7786.69,7032.95,7714.26,1580400448.729519,1930065,117482.54749,876505422.238246,211929.270766,28,5,2018,0,0,3,6,2018,23,59
2018-06-04,7714.26,7765.0,6622.81,6764.99,211352.737478,1528675199999,1574558979.8373327,2117420,114201.834413,852642290.7888799,0,2018-06-10 23:59:59,2018-06-04,7714.26,7765.0,6622.81,6764.99,1574558979.8373327,2117420,114201.834413,852642290.7888799,211352.737478,4,6,2018,0,0,10,6,2018,23,59
2018-06-11,6765.0,6922.0,6118.68,6449.61,234080.841171,1529279999999,1532387822.7080855,1406168,127373.609653,833996575.3197141,0,2018-06-17 23:59:59,2018-06-11,6765.0,6922.0,6118.68,6449.61,1532387822.7080855,1406168,127373.609653,833996575.3197141,234080.841171,11,6,2018,0,0,17,6,2018,23,59
2018-06-18,6444.06,6841.74,5750.0,6136.97,234147.621015,1529884799999,1493387501.4582708,1413795,125738.642241,802333822.6810286,0,2018-06-24 23:59:59,2018-06-18,6444.06,6841.74,5750.0,6136.97,1493387501.4582708,1413795,125738.642241,802333822.6810286,234147.621015,18,6,2018,0,0,24,6,2018,23,59
2018-06-25,6137.95,6528.99,5780.0,6356.81,207746.559006,1530489599999,1282960927.4924057,1214054,112957.360973,697781325.5983218,0,2018-07-01 23:59:59,2018-06-25,6137.95,6528.99,5780.0,6356.81,1282960927.4924057,1214054,112957.360973,697781325.5983218,207746.559006,25,6,2018,0,0,1,7,2018,23,59
2018-07-02,6360.82,6818.16,6271.62,6712.1,211526.019058,1531094399999,1393368254.076007,1322891,113263.789294,746176284.2175087,0,2018-07-08 23:59:59,2018-07-02,6360.82,6818.16,6271.62,6712.1,1393368254.076007,1322891,113263.789294,746176284.2175087,211526.019058,2,7,2018,0,0,8,7,2018,23,59
2018-07-09,6712.1,6802.06,6070.0,6353.01,192452.84988,1531699199999,1225870847.4731443,1007888,101995.657579,649868285.8353192,0,2018-07-15 23:59:59,2018-07-09,6712.1,6802.06,6070.0,6353.01,1225870847.4731443,1007888,101995.657579,649868285.8353192,192452.84988,9,7,2018,0,0,15,7,2018,23,59
2018-07-16,6354.15,7700.0,6330.4,7394.79,294313.222604,1532303999999,2128249956.9973235,1602460,159598.815591,1153467423.232659,0,2018-07-22 23:59:59,2018-07-16,6354.15,7700.0,6330.4,7394.79,2128249956.9973235,1602460,159598.815591,1153467423.232659,294313.222604,16,7,2018,0,0,22,7,2018,23,59
2018-07-23,7394.78,8491.77,7375.0,8211.0,288666.047141,1532908799999,2332298260.584472,1575619,154924.100889,1251512994.1975667,0,2018-07-29 23:59:59,2018-07-23,7394.78,8491.77,7375.0,8211.0,2332298260.584472,1575619,154924.100889,1251512994.1975667,288666.047141,23,7,2018,0,0,29,7,2018,23,59
2018-07-30,8210.99,8273.0,6882.29,7024.19,282090.103584,1533513599999,2132225331.2656572,1404398,147829.462036,1117308216.0366144,0,2018-08-05 23:59:59,2018-07-30,8210.99,8273.0,6882.29,7024.19,2132225331.2656572,1404398,147829.462036,1117308216.0366144,282090.103584,30,7,2018,0,0,5,8,2018,23,59
2018-08-06,7024.19,7160.0,5971.0,6308.33,334426.550743,1534118399999,2169762287.520261,1694989,178067.433497,1155504235.7897973,0,2018-08-12 23:59:59,2018-08-06,7024.19,7160.0,5971.0,6308.33,2169762287.520261,1694989,178067.433497,1155504235.7897973,334426.550743,6,8,2018,0,0,12,8,2018,23,59
2018-08-13,6308.56,6620.0,5880.0,6477.53,378189.296487,1534723199999,2401304850.578152,1813570,205461.829251,1305711344.9519367,0,2018-08-19 23:59:59,2018-08-13,6308.56,6620.0,5880.0,6477.53,2401304850.578152,1813570,205461.829251,1305711344.9519367,378189.296487,13,8,2018,0,0,19,8,2018,23,59
2018-08-20,6477.53,6882.54,6220.0,6700.0,286906.539311,1535327999999,1870078552.6344423,1365251,153261.481987,999056900.5077469,0,2018-08-26 23:59:59,2018-08-20,6477.53,6882.54,6220.0,6700.0,1870078552.6344423,1365251,153261.481987,999056900.5077469,286906.539311,20,8,2018,0,0,26,8,2018,23,59
2018-08-27,6700.0,7345.45,6646.5,7302.01,294674.913005,1535932799999,2064905776.2196648,1542804,162766.585323,1140746641.753713,0,2018-09-02 23:59:59,2018-08-27,6700.0,7345.45,6646.5,7302.01,2064905776.2196648,1542804,162766.585323,1140746641.753713,294674.913005,27,8,2018,0,0,2,9,2018,23,59
2018-09-03,7302.0,7410.0,6111.0,6250.81,306231.623424,1536537599999,2060238359.3451552,1498673,162645.087167,1094083907.5346687,0,2018-09-09 23:59:59,2018-09-03,7302.0,7410.0,6111.0,6250.81,2060238359.3451552,1498673,162645.087167,1094083907.5346687,306231.623424,3,9,2018,0,0,9,9,2018,23,59
2018-09-10,6252.26,6584.99,6169.68,6505.0,227428.182854,1537142399999,1455546755.8541198,1205506,124604.749749,797441407.4796013,0,2018-09-16 23:59:59,2018-09-10,6252.26,6584.99,6169.68,6505.0,1455546755.8541198,1205506,124604.749749,797441407.4796013,227428.182854,10,9,2018,0,0,16,9,2018,23,59
2018-09-17,6500.08,6839.03,6123.0,6708.0,244256.490121,1537747199999,1590443498.5932746,1324448,133037.201025,867030374.8525662,0,2018-09-23 23:59:59,2018-09-17,6500.08,6839.03,6123.0,6708.0,1590443498.5932746,1324448,133037.201025,867030374.8525662,244256.490121,17,9,2018,0,0,23,9,2018,23,59
2018-09-24,6706.81,6814.8,6325.02,6626.57,242598.872471,1538351999999,1592066012.4053092,1308413,132133.994449,867418937.7181212,0,2018-09-30 23:59:59,2018-09-24,6706.81,6814.8,6325.02,6626.57,1592066012.4053092,1308413,132133.994449,867418937.7181212,242598.872471,24,9,2018,0,0,30,9,2018,23,59
2018-10-01,6626.57,6697.0,6430.0,6615.26,141836.476483,1538956799999,931813926.7749727,756048,75129.021229,493650263.5606893,0,2018-10-07 23:59:59,2018-10-01,6626.57,6697.0,6430.0,6615.26,931813926.7749727,756048,75129.021229,493650263.5606893,141836.476483,1,10,2018,0,0,7,10,2018,23,59
2018-10-08,6615.26,6715.6,6205.0,6339.34,166310.813544,1539561599999,1068868812.2791336,943296,83637.704957,537339332.3062356,0,2018-10-14 23:59:59,2018-10-08,6615.26,6715.6,6205.0,6339.34,1068868812.2791336,943296,83637.704957,537339332.3062356,166310.813544,8,10,2018,0,0,14,10,2018,23,59
2018-10-15,6339.34,7680.0,6300.0,6590.11,211592.623139,1540166399999,1434684785.8510528,1219900,110449.445938,748403217.7947539,0,2018-10-21 23:59:59,2018-10-15,6339.34,7680.0,6300.0,6590.11,1434684785.8510528,1219900,110449.445938,748403217.7947539,211592.623139,15,10,2018,0,0,21,10,2018,23,59
2018-10-22,6590.12,6639.0,6453.0,6489.93,75328.885385,1540771199999,494030438.1477376,591416,37842.154173,248174269.69773,0,2018-10-28 23:59:59,2018-10-22,6590.12,6639.0,6453.0,6489.93,494030438.1477376,591416,37842.154173,248174269.69773,75328.885385,22,10,2018,0,0,28,10,2018,23,59
2018-10-29,6489.93,6525.0,6245.02,6485.85,71945.400607,1541375999999,459573574.67943704,751373,35995.809099,229999405.96208155,0,2018-11-04 23:59:59,2018-10-29,6489.93,6525.0,6245.02,6485.85,459573574.67943704,751373,35995.809099,229999405.96208155,71945.400607,29,10,2018,0,0,4,11,2018,23,59
2018-11-05,6485.85,6615.15,6355.0,6449.81,76161.78188,1541980799999,494186439.10114735,874399,37227.070988,241607389.171258,0,2018-11-11 23:59:59,2018-11-05,6485.85,6615.15,6355.0,6449.81,494186439.10114735,874399,37227.070988,241607389.171258,76161.78188,5,11,2018,0,0,11,11,2018,23,59
2018-11-12,6450.71,6498.0,5403.42,5662.0,205081.183938,1542585599999,1193362837.9036088,1444633,104591.347428,607459146.8231884,0,2018-11-18 23:59:59,2018-11-12,6450.71,6498.0,5403.42,5662.0,1193362837.9036088,1444633,104591.347428,607459146.8231884,205081.183938,12,11,2018,0,0,18,11,2018,23,59
2018-11-19,5661.94,5664.0,3652.66,4085.78,496323.79998,1543190399999,2227689691.7363706,2388695,252770.919497,1133924485.1757271,0,2018-11-25 23:59:59,2018-11-19,5661.94,5664.0,3652.66,4085.78,2227689691.7363706,2388695,252770.919497,1133924485.1757271,496323.79998,19,11,2018,0,0,25,11,2018,23,59
